Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
532,Wout Weghorst,nl NED,FWMF,Manchester Utd,30-276,1992,14,10,727,8.1,0,1,1,0,0,0,1,0,1.4,1.4,1.0,2.4,2,15,38,0.00,0.12,0.12,0.00,0.12,0.17,0.12,0.29,0.17,0.29,Matches,c4e87b8b
533,Danny Welbeck,eng ENG,FW,Brighton,32-165,1990,27,19,1668,18.5,6,3,9,6,0,0,0,0,8.9,8.9,3.3,12.2,24,45,122,0.32,0.16,0.49,0.32,0.49,0.48,0.18,0.66,0.48,0.66,Matches,ce5143da
534,Ben White,eng ENG,DF,Arsenal,25-214,1997,35,33,2785,30.9,2,5,7,2,0,0,5,0,1.3,1.3,3.1,4.4,56,232,121,0.06,0.16,0.23,0.06,0.23,0.04,0.10,0.14,0.04,0.14,Matches,35e413f1
535,Harvey White,eng ENG,MF,Tottenham,21-233,2001,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,4d90ce8c
536,Joseph Whitworth,eng ENG,GK,Crystal Palace,19-070,2004,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,3f847d95
537,Neco Williams,wls WAL,DF,Nott'ham Forest,22-027,2001,31,20,1882,20.9,1,0,1,1,0,0,7,0,1.3,1.3,1.4,2.7,51,33,67,0.05,0.00,0.05,0.05,0.05,0.06,0.07,0.13,0.06,0.13,Matches,dd323728
538,Willian,br BRA,FW,Fulham,34-274,1988,24,22,1869,20.8,5,3,8,5,0,0,2,0,3.1,3.1,3.9,7.0,89,99,128,0.24,0.14,0.39,0.24,0.39,0.15,0.19,0.34,0.15,0.34,Matches,8b9ebd03
539,Joe Willock,eng ENG,MF,Newcastle Utd,23-263,1999,33,29,2413,26.8,3,6,9,3,0,0,1,0,6.9,6.9,5.5,12.4,90,115,142,0.11,0.22,0.34,0.11,0.34,0.26,0.21,0.46,0.26,0.46,Matches,a3b03921
540,Callum Wilson,eng ENG,FW,Newcastle Utd,31-072,1992,27,18,1626,18.1,15,4,19,14,1,1,3,0,13.5,12.7,2.4,15.1,22,17,103,0.83,0.22,1.05,0.77,1.00,0.75,0.13,0.88,0.70,0.84,Matches,c596fcb0
541,Harry Wilson,wls WAL,FW,Fulham,26-049,1997,26,10,879,9.8,2,2,4,2,0,0,1,0,1.8,1.8,0.7,2.5,13,28,71,0.20,0.20,0.41,0.20,0.41,0.18,0.07,0.26,0.18,0.26,Matches,c6dc9ecd
542,Yoane Wissa,cd COD,FW,Brentford,26-249,1996,35,13,1354,15.0,5,2,7,5,0,0,2,0,3.9,3.9,2.3,6.3,19,25,90,0.33,0.13,0.47,0.33,0.47,0.26,0.16,0.42,0.26,0.42,Matches,2500cef9
543,Maximilian Wöber,at AUT,DF,Leeds United,25-095,1998,13,11,1027,11.4,0,0,0,0,0,0,2,0,0.6,0.6,0.5,1.1,13,46,13,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.10,0.05,0.10,Matches,4b803b3c
544,Chris Wood,nz NZL,FW,Newcastle Utd,31-154,1991,18,4,446,5.0,2,0,2,1,1,1,0,0,1.8,1.0,0.3,1.3,1,4,23,0.40,0.00,0.40,0.20,0.20,0.37,0.06,0.43,0.21,0.27,Matches,4e9a0555
545,Chris Wood,nz NZL,FW,Nott'ham Forest,31-154,1991,7,5,372,4.1,1,0,1,1,0,0,0,0,1.0,1.0,0.2,1.2,2,7,12,0.24,0.00,0.24,0.24,0.24,0.23,0.05,0.28,0.23,0.28,Matches,4e9a0555
546,Joe Worrall,eng ENG,DF,Nott'ham Forest,26-120,1997,27,18,1954,21.7,1,0,1,1,0,0,6,0,0.5,0.5,0.8,1.4,5,62,1,0.05,0.00,0.05,0.05,0.05,0.03,0.04,0.06,0.03,0.06,Matches,a5212312
547,Granit Xhaka,ch SUI,MF,Arsenal,30-225,1992,34,33,2798,31.1,5,7,12,5,0,0,4,0,3.6,3.6,5.0,8.6,42,192,170,0.16,0.23,0.39,0.16,0.39,0.11,0.16,0.28,0.11,0.28,Matches,e61b8aee
